Index,timestamp /s,[23Na]+ /g,[24Mg]+ /g,[25Mg]+ /g,[26Mg]+ /g,[27Al]+ /g,[28Si]+ /g,[29Si]+ /g,[30Si]+ /g,[31P]+ /g,[32S]+ /g,[33S]+ /g,[34S]+ /g,[36S]+ /g,[39K]+ /g,[40Ca]+ /g,[41K]+ /g,[42Ca]+ /g,[43Ca]+ /g,[44Ca]+ /g,[45Sc]+ /g,[46Ti]+ /g,[47Ti]+ /g,[47Ti] /g,[48Ti]+ /g,[49Ti]+ /g,[50Ti]+ /g,[51V]+ /g,[51V] /g,[52Cr]+ /g,[53Cr]+ /g,[54Fe]+ /g,[55Mn]+ /g,[56Fe]+ /g,[57Fe]+ /g,[58Ni]+ /g,[59Co]+ /g,[60Ni]+ /g,[61Ni]+ /g,[62Ni]+ /g,[63Cu]+ /g,[64Zn]+ /g,[65Cu]+ /g,[66Zn]+ /g,[67Zn]+ /g,[68Zn]+ /g,[69Ga]+ /g,[70Ge]+ /g,[71Ga]+ /g,[72Ge]+ /g,[73Ge]+ /g,[74Ge]+ /g,[75As]+ /g,[76Se]+ /g,[77Se]+ /g,[78Se]+ /g,[79Br]+ /g,[80Se]+ /g,[81Br]+ /g,[82Se]+ /g,[84Sr]+ /g,[85Rb]+ /g,[86Sr]+ /g,[87Sr]+ /g,[88Sr]+ /g,[89Y]+ /g,[90Zr]+ /g,[91Zr]+ /g,[92Zr]+ /g,[93Nb]+ /g,[94Zr]+ /g,[95Mo]+ /g,[96Mo]+ /g,[97Mo]+ /g,[98Mo]+ /g,[99Ru]+ /g,[100Ru]+ /g,[101Ru]+ /g,[102Ru]+ /g,[102Pd]+ /g,[103Rh]+ /g,[104Pd]+ /g,[105Pd]+ /g,[106Pd]+ /g,[107Ag]+ /g,[108Pd]+ /g,[108Cd]+ /g,[109Ag]+ /g,[110Cd]+ /g,[111Cd]+ /g,[112Cd]+ /g,[113In]+ /g,[114Sn]+ /g,[114Cd]+ /g,[115Sn]+ /g,[116Sn]+ /g,[117Sn]+ /g,[118Sn]+ /g,[119Sn]+ /g,[120Sn]+ /g,[121Sb]+ /g,[122Sn]+ /g,[123Sb]+ /g,[124Te]+ /g,[125Te]+ /g,[126Te]+ /g,[127I]+ /g,[128Te]+ /g,[130Te]+ /g,[130Ba]+ /g,[132Ba]+ /g,[133Cs]+ /g,[136Ba]+ /g,[137Ba]+ /g,[138Ba]+ /g,[139La]+ /g,[140Ce]+ /g,[141Pr]+ /g,[142Nd]+ /g,[142Ce]+ /g,[143Nd]+ /g,[144Nd]+ /g,[145Nd]+ /g,[146Nd]+ /g,[147Sm]+ /g,[148Sm]+ /g,[149Sm]+ /g,[150Sm]+ /g,[151Eu]+ /g,[152Sm]+ /g,[152Gd]+ /g,[153Eu]+ /g,[154Sm]+ /g,[155Gd]+ /g,[156Gd]+ /g,[157Gd]+ /g,[158Gd]+ /g,[159Tb]+ /g,[160Dy]+ /g,[161Dy]+ /g,[162Dy]+ /g,[163Dy]+ /g,[164Dy]+ /g,[165Ho]+ /g,[166Er]+ /g,[167Er]+ /g,[168Er]+ /g,[169Tm]+ /g,[170Yb]+ /g,[171Yb]+ /g,[172Yb]+ /g,[173Yb]+ /g,[174Yb]+ /g,[175Lu]+ /g,[176Hf]+ /g,[177Hf]+ /g,[178Hf]+ /g,[179Hf]+ /g,[180Hf]+ /g,[180W]+ /g,[181Ta]+ /g,[182W]+ /g,[183W]+ /g,[184W]+ /g,[185Re]+ /g,[186W]+ /g,[187Os]+ /g,[188Os]+ /g,[189Os]+ /g,[190Os]+ /g,[191Ir]+ /g,[192Pt]+ /g,[192Os]+ /g,[193Ir]+ /g,[194Pt]+ /g,[195Pt]+ /g,[196Pt]+ /g,[197Au]+ /g,[198Pt]+ /g,[199Hg]+ /g,[200Hg]+ /g,[201Hg]+ /g,[202Hg]+ /g,[203Tl]+ /g,[204Pb]+ /g,[205Tl]+ /g,[206Pb]+ /g,[207Pb]+ /g,[208Pb]+ /g,[209Bi]+ /g,[231Pa]+ /g,[232Th]+ /g,[234U]+ /g,[235U]+ /g,[238U]+ /g
1,0.0018730642691444,,,,,1.97368391414125E-16,-2.45635397093378E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.039103096614703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.81066686141259E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,0.0610004552527506,,,,,,,,,,,,,,,-4.67309691602424E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,0.0715049751402985,,,,,,,,4.28612520937768E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,0.158222730808238,,,,,,,,,,,,,,,,,,4.15262611917043E-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,0.17026495539419,,,,,,,,,,,,,,,-4.15314910955576E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,0.202189821197029,,9.81283744355888E-16,,,6.44223475538409E-16,,,,,,,,,,,,,,,,,,,,,,,,,,9.0384894254389E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,0.242204703311313,,,,,,,,,,,,,,,-2.97784561036715E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.304326437128827,,,,,,,,,,,,1.21011262134393E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,0.596847876034719,,,,,2.15231907549342E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,0.642123551415188,,,,,,,,,,,,,,,,,,,,1.53528462557047E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,0.654155962680368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75908340316124E-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,0.688116452544274,,,,,,,,5.08372423278993E-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
